symbol
AAPL
MSFT
NVDA
AMZN
META
GOOGL
TSLA
ASML.AS
SAP.DE
NESN.SW
RMS.PA
NVO
TSM
RACE
TM
SU.PA
ITX.MC
7203.T
005930.KS
ROG.SW
